GCA_040062895.1	SRS21343012
GCA_040062975.1	SRS21343004
GCA_040063005.1	SRS21343003
GCA_040063095.1	SRS21343002
GCA_040063175.1	SRS21342992
GCA_040063325.1	SRS21342962
GCA_040063365.1	SRS21342964
GCA_040063515.1	SRS21343011
GCA_040063535.1	SRS21343017
GCA_040063595.1	SRS21343014
GCA_040063635.1	SRS21343000
GCA_040063675.1	SRS21342965
GCA_040063815.1	SRS21342960
GCA_040063845.1	SRS21342949
GCA_040151795.1	SRS21343018
GCA_932530255.1	ERS10792211
GCF_000835125.1	SRS874598
GCA_039770655.1	SRS25631199
GCA_001544855.1	SRS1116751
GCF_002975475.1	SRS2831094
GCF_002976295.1	SRS2831092
GCF_002976335.1	SRS2831095
GCF_002976355.1	SRS2831093
GCF_005155785.1	SRS3890343
GCF_005156105.1	SRS3890342
GCF_026727575.1	SRS15779431
GCF_026727615.1	SRS15779430
GCF_028768425.1	SRS16669432
GCF_902459825.2	ERS3592414
GCA_001544775.1	SRS1116753
GCA_002976375.1	SRS2831096
GCA_041272255.1	SRS19000273
GCF_000195835.3	ERS1465382
GCF_015482805.1	SRS7677503
GCA_001544735.1	SRS1116744
GCF_904810335.1	ERS5094828
GCF_904810345.1	ERS5094830
GCF_904810355.1	ERS5094831
GCF_904810365.1	ERS5094829
GCA_001544815.1	SRS1116752
GCF_904810325.1	ERS5094827

